id,title,description,director,country,year,language,image,imdbid
147,BRAND UPON THE BRAIN!,"In the weird and wonderful supercinematic world of Canadian cult filmmaker Guy Maddin, personal memory collides with movie lore for a radical sensory overload. This eerie excursion into the Gothic recesses of Maddin’s mad, imaginary childhood is a silent, black-and-white comic science-fiction nightmare set in a lighthouse on grim Black Notch Island, where fictional protagonist Guy Maddin was raised by an ironfisted, puritanical mother. Originally mounted as a theatrical event (accompanied by live orchestra, Foley artists, and assorted narrators),Brand upon the Brain!is an irreverent, delirious trip into the mind of one of current cinema’s true eccentrics.",Guy Maddin,Canada,2006,English,https://s3.amazonaws.com/criterion-production/films/dd948ea1505c8c0c9d4cc14ce7ae6da0/4bHdVOYHaFfEvZyoh1P26mRc90hwHF_large.jpg,0443455
148,BRAZIL,"In the dystopian masterpieceBrazil,Jonathan Pryce plays a daydreaming everyman who finds himself caught in the soul-crushing gears of a nightmarish bureaucracy. This cautionary tale by Terry Gilliam, one of the great films of the 1980s, has come to be esteemed alongside antitotalitarian works by the likes of George Orwell, Aldous Huxley, and Kurt Vonnegut Jr. And in terms of set design, cinematography, music, and effects,Brazilis a nonstop dazzler.",Terry Gilliam,United Kingdom,1985,English,https://s3.amazonaws.com/criterion-production/films/4465e85d9b83346a84976bdae16c2cb9/kncSHt6Pxm1wjWODxnozz5Nj8BbDqi_large.jpg,0088846
149,BREAKER MORANT,"At the turn of the twentieth century, three Australian army lieutenants are court-martialed for alleged war crimes committed while fighting in South Africa. With no time to prepare, an Australian major, appointed as defense attorney, must prove that they were just following orders and are being made into political pawns by the British imperial command. Director Bruce Beresford garnered international acclaim for this riveting drama set during a dark period in his country’s colonial history, and featuring passionate performances by Edward Woodward, Bryan Brown, and Jack Thompson; rugged cinematography by Donald McAlpine; and an Oscar-nominated script, based on true events.",Bruce Beresford,Australia,1980,English,https://s3.amazonaws.com/criterion-production/films/599c1d93d69bc16cf64bea4e5744ea53/aB9rUALrsOa4RdkVSqaV2SNoIC3Oej_large.jpg,0080310
150,THE BREAKFAST CLUB,"What happens when five strangers end up together in Saturday detention? Badass posturing, gleeful misbehavior, and a potent dose of angst. With this exuberant, disarmingly candid film, writer-director John Hughes established himself as the bard of American youth, vividly and empathetically capturing how teenagers hang out, act up, and goof off.The Breakfast Clubbrings together an assortment of adolescent archetypes—the uptight popular girl (Molly Ringwald), the stoic jock (Emilio Estevez), the foulmouthed rebel (Judd Nelson), the virginal bookworm (Anthony Michael Hall), and the kooky recluse
(Ally Sheedy)—and watches them shed their personae and emerge into unlikely friendships. With its highly quotable dialogue and star-making performances, this exploration of the trials of adolescence became an era-defining pop-culture phenomenon, one whose influence now spans generations.",John Hughes,United States,1985,English,https://s3.amazonaws.com/criterion-production/films/e93448216c7da67e0fcb6d042fc8c3d0/Rf6PkW1DkiLfnfvlOdxlzKM4oSV4RF_large.jpg,0088847
151,THE BREAKING POINT,"Michael Curtiz brings a master skipper’s hand to the helm of this thriller, Hollywood’s second crack at Ernest Hemingway’sTo Have and Have Not.John Garfield stars as Harry Morgan, an honest charter-boat captain who, facing hard times, takes on dangerous cargo to save his boat, support his family, and preserve his dignity. Left in the lurch by a freeloading passenger, Harry starts to enter­tain the criminal propositions of a sleazy lawyer (Wallace Ford), as well as the playful come-ons of a cheeky blonde (Patricia Neal), making a series of compromises that stretch his morality—and his marriage—further than he’ll admit. Hewing closer to Hemingway’s novel than Howard Hawks’s Bogart-Bacall vehicle does,The Breaking Pointcharts a course through daylight noir and working-class tragedy, guided by Curtiz’s effortless visual fluency and a stoic, career-capping performance from Garfield.",Michael Curtiz,United States,1950,English,https://s3.amazonaws.com/criterion-production/films/f70b3e2c5a4f2213b6a77b4f08061da8/mTFKIIcPJ215wVoQPbu2qX5nfcOE4r_large.jpg,0042281
154,THE  BRIDGE,"Bernhard Wicki’s astonishingThe Bridgewas the first major antiwar film to come out of Germany after World War II, as well as the nation’s first postwar film to be widely shown internationally, even securing an Oscar nomination. Set near the end of the conflict, it follows a group of teenage boys in a small town as they contend with everyday matters like school, girls, and parents, before enlisting as soldiers and being forced to defend their home turf in a confused, terrifying battle. This expressively shot, emotionally bruising drama dared to humanize young German soldiers at a historically tender moment, and proved influential for the coming generation of New German Cinema auteurs.",Bernhard Wicki,Germany,1959,German,https://s3.amazonaws.com/criterion-production/films/dc0c6d72367b18727c846047f2b39cb6/JOpfLu2e0pJYqYoJ67UvpPXUgKcIP1_large.jpg,1733785
155,BRIEF ENCOUNTER,"After a chance meeting on a train platform, a married doctor (Trevor Howard) and a suburban housewife (Celia Johnson) begin a muted but passionate, and ultimately doomed, love affair. With its evocatively fog-enshrouded setting, swooning Rachmaninoff score, and pair of remarkable performances (Johnson was nominated for an Oscar), this film, directed by David Lean and based on  Noël Coward’s playStill Lifedeftly explores the thrill, pain, and tenderness of an illicit romance, and has influenced many a cinematic brief encounter since its release.",David Lean,United Kingdom,1945,English,https://s3.amazonaws.com/criterion-production/films/b1934b4748475590262b938b9cfc3c4a/w7dChuHNMJFqP6lR0le67x1rix4DQu_large.jpg,0037558
156,A BRIEF HISTORY OF TIME,"Errol Morris turns his camera on one of the most fascinating men in the world: the pioneering astrophysicist Stephen Hawking, afflicted by a debilitating motor neuron disease that has left him without a voice or the use of his limbs. An adroitly crafted tale of personal adversity, professional triumph, and cosmological inquiry, Morris’s documentary examines the way the collapse of Hawking’s body has been accompanied by the untrammeled broadening of his imagination. Telling the man’s incredible story through the voices of his colleagues and loved ones, while making dynamically accessible some of the theories in Hawking’s best-selling book of the same name,A Brief History of Timeis at once as small as a single life and as big as the ever-expanding universe.",Errol Morris,United States,1991,English,https://s3.amazonaws.com/criterion-production/films/5199593d0fcdff78d678ad5ac1745fa9/vZ1yJIDRTUcAEmQs90SEEQ7tQvHCqu_large.jpg,0103882
157,A BRIGHTER SUMMER DAY,"Among the most praised and sought-after titles in all contemporary film, this singular masterpiece of Taiwanese cinema, directed by Edward Yang, finally comes to home video in the United States. Set in the early sixties in Taiwan,A Brighter Summer Dayis based on the true story of a crime that rocked the nation. A film of both sprawling scope and tender intimacy, this novelistic, patiently observed epic centers on the gradual, inexorable fall of a young teenager (Chen Chang, in his first role) from innocence to juvenile delinquency, and is set against a simmering backdrop of restless youth, rock and roll, and political turmoil.A Brighter Summer Daywas restored in 2009 by the Cineteca di Bologna/L’Immagine Ritrovata laboratory, in association with The Film Foundation’s World Cinema Project, the Central Motion Picture Corporation, and the Edward Yang Estate. Scan performed at Digimax laboratories in Taipei. Restoration funded by Armani, Cartier, Qatar Airways, and Qatar Museum Authority.",Edward Yang,Taiwan,1991,"Mandarin,                                          Taiwanese",https://s3.amazonaws.com/criterion-production/films/b687152dacf0e24ed0cca73e411572c7/xRGfRb80dpUeQ6IJGG8hjNwXpppDHF_large.jpg,0101985
158,BRINK OF LIFE,"At the height of his international acclaim, Ingmar Bergman followed two meditations on death,The Seventh SealandWild Strawberries,with an examination of the mystery and pain of birth. This intimate chamber drama, set in a maternity ward, follows the emotional crises of three women as they grapple with motherhood. Another major success for the director that was also recognized for its exquisite performances by Ingrid Thulin, Eva Dahlbeck, and Bibi Andersson,Brink of Lifeis one of Bergman’s most brilliantly nuanced explorations of the inner lives of women.",Ingmar Bergman,Sweden,1958,Swedish,https://s3.amazonaws.com/criterion-production/films/fca11f8b71b6184805ae6df1cd71a712/NvN1w2mmTq5QprkcdMFL2uaIjdefIv_large.jpg,0052017
159,BROADCAST NEWS,"Since the 1970s, the name James L. Brooks has been synonymous with intelligent television comedy—his shows are insightful about work and love and always plugged in to the zeitgeist. He is also a master storyteller of the big screen, and none of his films was more quintessentially Brooks thanBroadcast News. This caustic look inside the Washington news media stars Holly Hunter, in her breakout role, as a feisty television producer torn between an ambitious yet dim anchorman (William Hurt) and her closest confidant, a cynical veteran reporter (Albert Brooks). Brooks’s witty, gently prophetic film is a captivating transmission from an era in which ideas on relationships and the media were rapidly changing.",James L. Brooks,United States,1987,English,https://s3.amazonaws.com/criterion-production/films/70abd73c5c7496402d00b30e2c291867/Cr4cyMbzG9CKkKh01X18PcKE2z4iuw_large.jpg,0092699
