id,title,description,director,country,year,language,image,imdbid
31,ALPHAVILLE,"A cockeyed fusion of science fiction, pulp characters, and surrealist poetry, Godard’s irreverent journey to the mysterious Alphaville remains one of the least conventional films of all time. Eddie Constantine stars as intergalactic hero Lemmy Caution, on a mission to kill the inventor of fascist computer Alpha 60.",Jean-Luc Godard,France,1965,French,https://s3.amazonaws.com/criterion-production/films/7053ad19be02c2f5762fcaaa159d2610/zhh3azNCrMn6HnSV8q2KdvWcxgbGyc_large.jpg,0058898
18,THE AGE OF THE MEDICI,"Roberto Rossellini’s three-partThe Age of the Mediciis like a Renaissance painting come to life: a portrait of fifteenth-century Florence, ruled by the Medici political dynasty. With a lovely score from composer Manuel de Sica (son of Vittorio), this grand yet intimate work is a storybook conjuring of a way of life and thought.",Roberto Rossellini,Italy,1973,Italian,https://s3.amazonaws.com/criterion-production/films/8d5277524c0145b565ff66601d48b63c/i5ub3rQJ4TLqUmnDRf2RPPct4Pt4oZ_large.jpg,3581920
1087,THIS IS SPINAL TAP,"Rob Reiner''s directorial debut has developed into a cult phenomenon. The film that invented the rockumentary has now outlasted most of the bands it mocked. Following the ill-fated American comeback tour of an aging heavy-metal group, this film has joined the ranks of the greatest comedies ever made.",Rob Reiner,United States,1984,,https://s3.amazonaws.com/criterion-production/films/5d50540d4d5129f771caaeb888818d92/NLVNXJuptPJ2EyP2NWafJEfJEL5YlF_large.jpg,0088258
129,BLOOD FOR DRACULA,"Paul Morrissey’s moralistic take on modern values is a brash mixture of humor, horror, and sex—and a revelation to fans of the horror film. InBlood for Dracula,the infamous count searches Italy for virgin blood. Criterion presents the long-suppressed director''s cut of this outrageous cult classic in a widescreen transfer.",Paul Morrissey,United States,1974,English,https://s3.amazonaws.com/criterion-production/films/114637a5e458396f39cd567dd80ac698/XqIEaYAyBcgMdJzaqGaWQsnuVZR9Ot_large.jpg,0071233
336,EVERY-NIGHT DREAMS,"In the formally ravishingEvery-Night Dreams,set in the dockside neighborhoods of Tokyo, a single mother works tirelessly as a Ginza bar hostess to ensure a better life for her young son—until her long-lost husband returns.",Mikio Naruse,Japan,1933,Japanese,https://s3.amazonaws.com/criterion-production/films/3059471c517f566f014e151526c17bf3/M93oxLH4L4JoUP1ZtX9a5ODe3LwqC2_large.jpg,0024793
418,THE GOLDEN AGE OF TELEVISION,"The hugely popular live American television plays of the 1950s have become the stuff of legend. Combining elements of theater, radio, and filmmaking, they were produced at a moment when TV technology was growing more mobile and art was being made accessible to a newly suburban postwar demographic. These astonishingly choreographed, brilliantly acted, and socially progressive “teleplays” constituted an artistic high for the medium, bringing Broadway-quality drama to all of America. The award-winning programs included in this box set—originally curated for PBS in the early 1980s as the seriesThe Golden Age of Television,featuring recollections from key cast and crew members—were conceived by such up-and-comers as Rod Serling and John Frankenheimer and star the likes of Paul Newman, Mickey Rooney, Rod Steiger, Julie Harris, and Piper Laurie.MartyRenowned dramatist Paddy Chayefsky’s poignant and touching character study of a lonely, middle-aged butcher (Rod Steiger) looking for love helped usher in the naturalistic style of television drama in the 1950s.Marty,directed by Delbert Mann, remains an enduring classic of the age of live television.PatternsNothing less than a milestone in television drama, writer Rod Serling’sPatternsexamines a power struggle between a corporate boss (Everett Sloane), a washed-up company man (Ed Begley), and the young executive groomed to take his place (Richard Kiley). A huge hit when first broadcast, the production was re-aired the following week, which was unprecedented at the time.No Time for SergeantsAndy Griffith makes his first television appearance as Will Stockdale, a bumptious Air Force draftee who manages to drive his sergeant (Harry King) and the jokers who share his barracks crazy.No Time for Sergeantsis a riotous military comedy and launched newcomer Griffith to stardom.A Wind from the SouthJulie Harris stars as Shivawn, an Irish country innkeeper who finds new meaning in her life when she finally experiences her first love, with a troubled tourist (Donald Woods). Written by playwright James Costigan,A Wind from the Southfeatures a typically marvelous performance from Harris and a surprising turn from Merv Griffin, who sings the show’s theme song.Requiem for a HeavyweightA punch-drunk prizefighter (Jack Palance) is forced to face life outside the ring in Rod Serling’s searing indictment of the professional boxing underworld. Costarring father and son Ed and Keenan Wynn, the former in his dramatic debut, and directed by Ralph Nelson, the Emmy Award–winningRequiem for a Heavyweightis a moving portrait of a would-be champion.Bang the Drum SlowlyPaul Newman is the star pitcher of a professional baseball team who helps a terminally ill country bumpkin catcher (Albert Salmi) live out one last season on the diamond. A touching and honest tale of friendship,Bang the Drum Slowlyis also considered one of the finest baseball stories of all time.The ComedianMickey Rooney stars as a raging, tyrannical TV star stepping on anyone on his way to the top, including his browbeaten brother (Mel Tormé), despairing wife (Kim Hunter), and washed-up scriptwriter (Edmond O’Brien). Powerfully directed by John Frankenheimer from a script adapted for the screen by Rod Serling,The Comedianis a volatile glimpse behind the showbiz curtain.Days of Wine and RosesA young married couple falls into a downward spiral of alcoholism and self-destruction in writer JP Miller’s devastatingDays of Wine and Roses.Masterfully directed by John Frankenheimer, this acclaimed production features riveting performances from Piper Laurie, Cliff Robertson, and Charles Bickford.",,United States,,English,https://s3.amazonaws.com/criterion-production/films/9fbc0bbe06284eca9d7de4fcf1158ed7/P38oZJKFuJuNUi7ZRNaHJIH6WkAKQZ_large.jpg,1655441
470,HOTEL MONTEREY,"Under Chantal Akerman’s watchful eye, a cheap  Manhattan hotel glows with mystery and unexpected beauty, its corridors, elevators, rooms, windows, and occasional occupants framed like Edward Hopper tableaux.",Chantal Akerman,United States,1972,,https://s3.amazonaws.com/criterion-production/films/a187a9463f293d4604408fc78c19de6d/IvqGBi8UXnGK2OGOL4qOKHz8qVJStc_large.jpg,0068725
1052,TAKE AIM AT THE POLICE VAN,"At the beginning of Seijun Suzuki’s taut and twisty whodunit, a prison truck is attacked and a convict inside murdered. The penitentiary guard on duty, Daijiro (Michitaro Mizushima), is accused of negligence and suspended, only to take it upon himself to track down the killers.",Seijun Suzuki,Japan,1960,Japanese,https://s3.amazonaws.com/criterion-production/films/d81c7ac9039bb94b49434d9972738535/peRwViSXsg2tfM2591Cm0V6NKboz8b_large.jpg,0054325
36,EL AMOR BRUJO,"The Flamenco Trilogy''s most straightforward narrative is also its most forthrightly theatrical, a modern take on composer Manuel de Falla''s gypsy ballet, dressed up in pink sunsets and hellishly red fires. Set in a dusty Andalusian village,El amor brujo(Love the Magician) is a seductive melodrama of a man (Antonio Gades) whose beloved is haunted by the ghost of another.",Carlos Saura,Spain,1986,Spanish,https://s3.amazonaws.com/criterion-production/films/383d8a7d40762165ed0eeefb3f475755/7iG3D8YVVdC0EMhYGIyDR8lJaBudTD_large.jpg,0090636
109,BIG DEAL ON MADONNA STREET,"An all-star cast and jazzy score highlight this charming comedy, a deft satire of classic caper films likeRififi. Big Deal on Madonna Streethilariously details the plight of a sad-sack group of bumbling thieves and their desperate attempts to pull off the perfect heist.",Mario Monicelli,Italy,1958,Italian,https://s3.amazonaws.com/criterion-production/films/3ea30a24e22aa24b78417d7c2e5a9c82/TiFmiKcnV2SowrX7dD8EgDucoPy0jI_large.jpg,0052216
1171,VIVE LE TOUR,"In his short documentaryVive le Tour, Louis Malle presents his energetic evocation of the Tour de France.  This,Humain, trop humain, andPlace de la République, Louis Malle’s three French-set documentaries, reveal, in an eclectic array of ways, the director’s eternal fascination with, and respect for, the everyday lives of everyday people.",Louis Malle,France,1962,French,https://s3.amazonaws.com/criterion-production/films/8003aec02782dec6c53a724005c318d9/QX2K5l3kgdtCaqufsdBTnGj4063rhx_large.jpg,0056662
54,ARMAGEDDON,Bruce Willis and an all-star cast of roughneck oil drillers blast off on a mission to save the planet in Michael Bay’s doomsday space epic.,Michael Bay,United States,1998,English,https://s3.amazonaws.com/criterion-production/films/7858f806be01113ec3f26840d2ec0cab/zcQiVXuZFCisdXVhLeyD96Hxr6Vqp8_large.jpg,0120591
1239,ZATOICHI ON THE ROAD,"The itinerant Zatoichi comes across a dying man, who begs the masseur to escort a young woman back to her family in Edo. The honorable swordsman agrees, but in so doing, he catapults himself between two warring yakuza clans, each with its own interest in kidnapping the girl.",Kimiyoshi Yasuda,Japan,1963,Japanese,https://s3.amazonaws.com/criterion-production/films/df5518ae2db0b9d52d0ac89460799cfa/v9mW7kV4UWbOr2eibkmgpiy2W7jDVP_large.jpg,0057714
0,2 OR 3 THINGS I KNOW ABOUT HER,"In2 or 3 Things I Know About Her(2 ou 3 choses que je sais d’elle), Jean-Luc Godard beckons us ever closer, whispering in our ears as narrator. About what? Money, sex, fashion, the city, love, language, war: in a word, everything. Among the legendary French filmmaker’s finest achievements, the film takes as its ostensible subject the daily life of Juliette Janson (Marina Vlady), a housewife from the Paris suburbs who prostitutes herself for extra money. Yet this is only a template for Godard to spin off into provocative philosophical tangents and gorgeous images.2 or 3 Things I Know About Heris perhaps Godard’s most revelatory look at consumer culture, shot in ravishing widescreen color by Raoul Coutard.",Jean-Luc Godard,France,1967,French,https://s3.amazonaws.com/criterion-production/films/2d01c1355a26b42297d80a960899c4f5/93Btri2IgKEjkVfyjMctarS9VtARHo_large.jpg,0060304
1,3:10 TO YUMA,"In this beautifully shot, psychologically complex western, Van Heflin is a mild-mannered cattle rancher who takes on the task of shepherding a captured outlaw (played with cucumber-cool charisma by Glenn Ford) to the train that will deliver him to prison. This apparently simple mission turns into a nerve-racking cat-and-mouse game that tests each man’s particular brand of honor. Based on a story by Elmore Leonard,3:10 to Yumais a thrilling, humane action movie, directed by the supremely talented studio filmmaker Delmer Daves with intense feeling and precision.",Delmer Daves,United States,1957,English,https://s3.amazonaws.com/criterion-production/films/ab1d9b806f1efe28878526241f632b9a/Zm61wXSmEUBWzzoMzmJOGYPvQ8Cg5v_large.jpg,0381849
2,3 WOMEN,"In a dusty, underpopulated California resort town, a naive southern waif, Pinky Rose (Sissy Spacek), idolizes and befriends her fellow nurse, the would-be sophisticate and “thoroughly modern” Millie Lammoreaux (Shelley Duvall). When Millie takes Pinky in as her roommate, Pinky’s hero worship evolves into something far stranger and more sinister than either could have anticipated. Featuring brilliant performances from Spacek and Duvall, this dreamlike masterpiece from Robert Altman careens from the humorous to the chilling to the surreal, resulting in one of the most unusual and compelling films of the 1970s.",Robert Altman,United States,1977,English,https://s3.amazonaws.com/criterion-production/films/75466150cfc0b49b10f051e0c239f3fc/1rrp8R9m37AAxe9ctq9TFKwyYOQ8jW_large.jpg,0075612
3,"4 MONTHS, 3 WEEKS AND 2 DAYS","Romanian filmmaker Cristian Mungiu shot to international prominence with this rigorously realistic Palme d’Or–winning second feature. In 1987, during the dictatorship of Nicolae Ceaușescu, college roommates Otilia (Anamaria Marinca) and Găbița (Laura Vasiliu) seek an illegal abortion for Găbița. In unflinching but empathetic detail, the film recounts the events of twenty-four perilous hours in their lives, culminating in their encounter with a manipulative and menacing abortionist (Vlad Ivanov). With powerful performances that accentuate the characters’ flawed humanity,4 Months, 3 Weeks and 2 Daysis a gutting account of the impossible choices women face when taking control of their bodies means breaking the law.",Cristian Mungiu,Romania,2007,Romanian,https://s3.amazonaws.com/criterion-production/films/65395fe8adf90ac719ea54fb460176fa/l2Q2n24ks84HZnVyuZvxqzIJk55lgR_large.jpg,1032846
4,8½,"Marcello Mastroianni plays Guido Anselmi, a director whose new project is collapsing around him, along with his life. One of the greatest films about film ever made, Federico Fellini’s8½(Otto e mezzo) turns one man’s artistic crisis into a grand epic of the cinema. An early working title for8½wasThe Beautiful Confusion,and Fellini’s masterpiece is exactly that: a shimmering dream, a circus, and a magic act.",Federico Fellini,"Italy,                                              France",1963,"German,                                          English,                                          French,                                          Italian",https://s3.amazonaws.com/criterion-production/films/2ae55be0d1938dcd30082006b5108053/EBSPG1J9ip2HjvJtUmzlDGLM9EtTFX_large.jpg,0056801
5,12 ANGRY MEN,"12 Angry Men,by Sidney Lumet, may be the most radical courtroom drama in cinema history. A behind-closed-doors look at the American legal system that is as riveting as it is spare, this iconic adaptation of Reginald Rose’s teleplay stars Henry Fonda as the dissenting member on a jury of white men ready to pass judgment on a Puerto Rican teenager charged with murdering his father. The result is a saga of epic proportions that plays out over a tense afternoon in one sweltering room. Lumet’s electrifying snapshot of 1950s America on the verge of change is one of the great feature film debuts.",Sidney Lumet,United States,1957,English,https://s3.amazonaws.com/criterion-production/films/b64d8d6785c12ae24b029f8b625c3c1a/PMLyOniHrRG3nyansZSwJxghltbxsC_large.jpg,0050083
6,24 FRAMES,"For what would prove to be his final film, Iranian director Abbas Kiarostami gave himself a challenge: to create a dialogue between his work as a filmmaker and his work as a photographer, bridging the two art forms to which he had dedicated his life. Setting out to reconstruct the moments immediately before and after a photograph is taken, Kiarostami selected twenty-four still images—most of them stark landscapes inhabited only by foraging birds and other wildlife—and digitally animated each one into its own subtly evolving four-and-a-half-minute vignette, creating a series of poignant studies in movement, perception, and time. A sustained meditation on the process of image making,24 Framesis a graceful and elegiac farewell from one of the giants of world cinema.",Abbas Kiarostami,Iran,2017,,https://s3.amazonaws.com/criterion-production/films/22cc8506c3dcd5e77e2d68c09b5f288b/lbWguDGRXPyIVW9oJ1BLa2f1GSAG10_large.jpg,6777170
7,THE 39 STEPS,"A heart-racing spy story by Alfred Hitchcock,The 39 Stepsfollows Richard Hannay (Robert Donat) as he stumbles upon a conspiracy that thrusts him into a hectic chase across the Scottish moors—a chase in which he is both the pursuer and the pursued—as well as into an unexpected romance with the cool Pamela (Madeline Carroll). Adapted from a novel by John Buchan, this classic wrong-man thriller from the Master of Suspense anticipates the director’s most famous works (especiallyNorth by Northwest), and remains one of his cleverest and most entertaining films.",Alfred Hitchcock,United Kingdom,1935,English,https://s3.amazonaws.com/criterion-production/films/aacbf709cba74e607ae657b7ea6ff1cf/2jsGvFmN8GvcK82SeP32fOu0YpUx1i_large.jpg,0026029
16,AFTER THE REHEARSAL,"With this spare chamber piece, set in an empty theater, Ingmar Bergman returned to his perennial theme of the permeability of life and art. Lingering after a rehearsal for August Strindberg’sA Dream Play(a touchstone for the filmmaker throughout his career), eminent director Henrik (Erland Josephson) enters into a frank and flirtatious conversation with his up-and-coming star, Anna (Lena Olin), leading him to recall his affair with Anna’s late mother, the self-destructive actress Rakel (Ingrid Thulin). The sharply written and impeccably performedAfter the Rehearsal,originally made for television, pares away all artifice to examine both the allure and the cost of a life in the theater.",Ingmar Bergman,Sweden,1984,Swedish,https://s3.amazonaws.com/criterion-production/films/ba2e4386c467bee0792f5983b863c052/1OBWg7ISTCDz63d0iB8f4IbOn2afEj_large.jpg,0087193
17,THE AGE OF INNOCENCE,"No filmmaker captures the grandeur and energy of New York like Martin Scorsese. With this sumptuous romance, he meticulously adapted the work of another great New York artist, Edith Wharton, bringing to life her tragic novel set in the cloistered world of Gilded Age Manhattan.The Age of Innocencetells the story of Newland Archer (Daniel Day-Lewis), whose engagement to an innocent socialite (Winona Ryder) binds him to the codes and rituals of his upbringing. But when her cousin (Michelle Pfeiffer) arrives in town on a wave of scandal after separating from her husband, she ignites passions in Newland he never knew existed. Swelling with exquisite period detail, this film is an alternately heartbreaking and satirical look at the brutality of old-world America.",Martin Scorsese,United States,1993,English,https://s3.amazonaws.com/criterion-production/films/23b95546eb76fe0bd9c69678c5130f60/Gicsoj0cO0g4i7a78Otic6zVhZKTv7_large.jpg,0106226
8,45 YEARS,"In this exquisitely calibrated film, Charlotte Rampling and Tom Courtenay perform a subtly off-kilter pas de deux as Kate and Geoff, an English couple who, on the eve of an anniversary celebration, find their long marriage shaken by the arrival of a letter to Geoff that unceremoniously collapses his past into their shared present. Director Andrew Haigh carries the tradition of British realist cinema to artful new heights in45 Years,weaving the momentous into the mundane as the pair go about their daily lives, while the evocatively flat, wintry Norfolk landscape frames their struggle to maintain an increasingly untenable status quo. Loosely adapting a short story by David Constantine, Haigh shifts the focus from the slightly erratic Geoff to Kate, eliciting a remarkable, nuanced portrayal by Rampling of a woman’s gradual metamorphosis from unflappable wife to woman undone.",Andrew Haigh,United Kingdom,2015,English,https://s3.amazonaws.com/criterion-production/films/30b643cfea431b3b50606249f145a888/RFDmoYxUdM1EcSWfagb3bhMvnINOWF_large.jpg,3544082
9,49TH PARALLEL,"At once a compelling piece of anti-isolationist propaganda and a quick-witted wartime thriller,49th Parallelis a classic early work from the inimitable British filmmaking team of Michael Powell and Emeric Pressburger. When a Nazi U-boat crew, headed by the ruthless Eric Portman, is stranded in Canada during the thick of World War II, the men evade capture by hiding out in a series of rural communities, before trying to cross the border into the still-neutral United States. Both soul-stirring and delightfully entertaining,49th Parallelfeatures a colorful cast of characters played by larger-than-life actors Laurence Olivier, Raymond Massey, Anton Walbrook, and Leslie Howard.",Michael Powell,United Kingdom,1941,English,https://s3.amazonaws.com/criterion-production/films/da2032b3d3115969152fd4f442094cbd/yunzkLos81PnuwixO24PC6ZH8Nc4vM_large.jpg,0033627
10,100 YEARS OF OLYMPIC FILMS: 1912–2012,"Spanning fifty-three movies and forty-one editions of the Olympic Games,100 Years of Olympic Films: 1912–2012is the culmination of a monumental, award-winning archival project encompassing dozens of new restorations by the International Olympic Committee. The documentaries collected here cast a cinematic eye on some of the most iconic moments in the history of modern sports, spotlighting athletes who embody the Olympic motto of “Faster, Higher, Stronger”: Jesse Owens shattering world records on the track in 1936 Berlin, Jean-Claude Killy dominating the Grenoble slopes in 1968, Joan Benoit breaking away to win the Games’ first women’s marathon in Los Angeles in 1984. In addition to the impressive ten-feature contribution of Bud Greenspan, this stirring collective chronicle of triumph and defeat includes such documentary landmarks as Leni Riefenstahl’sOlympiaand Kon Ichikawa’sTokyo Olympiad,along with captivating lesser-known works by major directors like Claude Lelouch, Carlos Saura, and Miloš Forman. It also offers a fascinating glimpse of the development of film itself, and of the technological progress that has brought viewers ever closer to the action. Traversing continents and decades, reflecting the social, cultural, and political changes that have shaped our recent history, this remarkable movie marathon showcases a hundred years of human endeavor.",,,0,,https://s3.amazonaws.com/criterion-production/films/51412a295670524ffce1299968c379fd/Okb9pCnEQmV0faxMB7JmLrUTJQrvxx_large.jpg,
11,THE 400 BLOWS,"François Truffaut’s first feature is also his most personal. Told from the point of view of Truffaut’s cinematic counterpart, Antoine Doinel (Jean-Pierre Léaud),The 400 Blows(Les quatre cents coups) sensitively re-creates the trials of Truffaut’s own childhood, unsentimentally portraying aloof parents, oppressive teachers, and petty crime. The film marked Truffaut’s passage from leading critic to trailblazing auteur of the French New Wave.",François Truffaut,France,1959,French,https://s3.amazonaws.com/criterion-production/films/6419fdfbf3442b70b449e2780ae6ac04/Jli0DzbsLXV9c4V1sPirW4n2Lw5FR8_large.jpg,0053198
12,1984,"This masterly adaptation of George Orwell’s chilling parable about totalitarian oppression gives harrowing cinematic expression to the book’s prophetic dystopia. In a rubble-strewn surveillance state where an endless overseas war props up the repressive regime of the all-seeing Big Brother, and all dissent is promptly squashed, a profoundly alienated citizen, Winston Smith (thrillingly played by John Hurt), risks everything for an illicit affair with the rebellious Julia (Suzanna Hamilton), defiantly asserting his humanity in the face of soul-crushing conformity. Through vividly grim production design and expressionistically desaturated cinematography by Roger Deakins, Michael Radford’s1984conjures a bleak vision of postwar Britain as fascistic nightmare—a world all too recognizable as our own.",Michael Radford,United Kingdom,1984,English,https://s3.amazonaws.com/criterion-production/films/9b263f6358cf0bae18244c759d4592f0/BonyZ4taymxrfBiRqY6K42NBh0jsop_large.jpg,0087803
13,ACE IN THE HOLE,"Billy Wilder’sAce in the Holeis one of the most scathing indictments of American culture ever produced by a Hollywood filmmaker. Kirk Douglas gives the fiercest performance of his career as Chuck Tatum, an amoral newspaper reporter who washes up in dead-end Albuquerque, happens upon the scoop of a lifetime, and will do anything to keep getting the lurid headlines. Wilder’s follow-up toSunset Boulevardis an even darker vision, a no-holds-barred exposé of the American media’s appetite for sensation that has gotten only more relevant with time.",Billy Wilder,United States,1951,English,https://s3.amazonaws.com/criterion-production/films/2fe2ca53e58aeac665d09fae9748347f/3oBi9k9iUQzTspeg9nyJiO6UF2bPLA_large.jpg,0043338
14,AN ACTOR’S REVENGE,"A uniquely prolific and chameleonic figure of world cinema, Kon Ichikawa delivered a burst of stylistic bravado with this intricate tale of betrayal and retribution. Set in the cloistered world of nineteenth-century kabuki theater, the film charts a female impersonator’s attempts to avenge the deaths of his parents, who were driven to insanity and suicide by a trio of corrupt men. Ichikawa takes the conventions of melodrama and turns them on their head, bringing the hero’s fractured psyche to life in boldly experimental widescreen compositions infused with kaleidoscopic color, pop-art influences, and meticulous choreography. Anchored by a magnificently androgynous performance by Kazuo Hasegawa, reprising a role he had played on-screen three decades earlier,An Actor’s Revengeis an eye-popping examination of how the illusions of art intersect with life.",Kon Ichikawa,Japan,1963,Japanese,https://s3.amazonaws.com/criterion-production/films/4b189bbc4839b45ecfee6d8546d303e6/KaW2t9UP1dYbpFxJDSlXEbSApZ8SaV_large.jpg,0057710
15,ADVENTURES OF ZATOICHI,"The blind swordsman wanders into a town to celebrate the New Year. There, he befriends a young woman whose father has gone missing; as he tries to help her find him, he becomes entangled in a web of corruption and a series of tragic twists of fate. Returning director Kimiyoshi Yasuda and screenwriter Shozaburo Asai masterfully weave together a variety of narrative threads and tonal registers, all while playfully tweaking the conventions and motifs of the series.",Kimiyoshi Yasuda,Japan,1964,Japanese,https://s3.amazonaws.com/criterion-production/films/c5ea12e9c68aa70a39d68b54ce945433/o0lBuGTV4QK4mfcnFLXe8Vxq7EzMrW_large.jpg,0164984
19,AKIRA KUROSAWA’S DREAMS,"Unfolding in a series of eight mythic vignettes, this late work by Akira Kurosawa was inspired by the beloved director’s own nighttime visions, along with stories from Japanese folklore. In a visually sumptuous journey through the master’s imagination, tales of childlike wonder give way to apocalyptic apparitions: a young boy stumbles on a fox wedding in a forest; a soldier confronts the ghosts of the war dead; a power plant meltdown smothers a seaside landscape in radioactive fumes. Interspersed with reflections on the redemptive power of creation, including a richly textured tribute to Vincent van Gogh (who is played by Martin Scorsese),Akira Kurosawa’s Dreamsis both a showcase for its maker’s artistry at its most unbridled and a deeply personal lament for a world at the mercy of human ignorance.",Akira Kurosawa,Japan,1990,Japanese,https://s3.amazonaws.com/criterion-production/films/e9fc8a91b2f9ebe10efb6edde367dffe/LRIg86I1YijdtiaQ7G1aWN6USnhprt_large.jpg,0100998
20,¡ALAMBRISTA!,"In¡Alambrista!,a Mexican farmworker sneaks across the border to California to make money to send to his family back home. It is a story that happens every day, told here in an uncompromising, groundbreaking work of realism from American independent filmmaker Robert M. Young. Vivid and spare where other films about illegal immigration might sentimentalize, Young’s take is equal parts intimate character study and gripping road movie, a political work that never loses sight of the complex man at its center.¡Alambrista!,winner of the Cannes Film Festival’s inaugural Caméra d’Or in 1978, remains one of the best films ever made on this perennially relevant topic.",Robert M. Young,United States,1977,"English,                                          Spanish",https://s3.amazonaws.com/criterion-production/films/0491f97086109447ae043dd560ab1deb/yN0HxZOaIlmehJUNzXjOrTZoTSNtdp_large.jpg,0075654
21,ALEXANDER NEVSKY,"Eisenstein drew on history, Russian folk narratives, and the techniques of Walt Disney to create this broadly painted epic of Russian resilience. This story of Teutonic knights vanquished by Prince Alexander Nevsky’s tactical brilliance resonated deeply with a Soviet Union concerned with the rise of Nazi Germany. Widely imitated—most notably by Laurence Olivier''s Battle of Agincourt re-creation forHenry V—the Battle on the Ice scene remains one of the most famous audio-visual experiments in film history, perfectly blending action with the rousing score of Sergei Prokofiev.",Sergei Eisenstein,Soviet Union,1938,Russian,https://s3.amazonaws.com/criterion-production/films/19c902a73e243b9293de4c717430f639/H1rWEdJtowN7Xh9vSnOvPU9I6y0AgT_large.jpg,0029850
22,ALICE IN THE CITIES,"The first of the road films that would come to define the career of Wim Wenders, the magnificentAlice in the Citiesis an emotionally generous and luminously shot odyssey. A German journalist (Rüdiger Vogler) is driving across the United States to research an article; it’s a disappointing trip, in which he is unable to truly connect with what he sees. Things change, however, when he has no choice but to take a young girl named Alice (Yella Rottländer) with him on his return trip to Germany, after her mother (Lisa Kreuzer)—whom he has just met—leaves the child in his care. Though they initially find themselves at odds, the pair begin to form an unlikely friendship.",Wim Wenders,Germany,1974,German,https://s3.amazonaws.com/criterion-production/films/4c937e1a2f214fa64d62211753e5f492/k2GNCMB1LPMtr7Dlh3PdIo9jHUFxD1_large.jpg,0069687
23,ALI: FEAR EATS THE SOUL,"The wildly prolific German filmmaker Rainer Werner Fassbinder paid homage to his cinematic hero Douglas Sirk with this update of that filmmaker’s 1955All That Heaven Allows.A lonely widow (Brigitte Mira) meets a much younger Arab worker (El Hedi ben Salem) in a bar during a rainstorm. They fall in love, to their own surprise—and to the outright shock of their families, colleagues, and drinking buddies. InAli: Fear Eats the Soul,Fassbinder expertly wields the emotional power of classic Hollywood melodrama to expose the racial tensions underlying contemporary German culture.",Rainer Werner Fassbinder,Germany,1974,German,https://s3.amazonaws.com/criterion-production/films/7dd41aeeab0ce784854db5756730e849/rp77a94J13Y9gB1nMxqiZ85R5UCaSb_large.jpg,0071141
24,ALL ABOUT EVE,"In Joseph L. Mankiewicz’s devastatingly witty Hollywood classic, backstage is where the real drama plays out. One night, Margo Channing (Bette Davis) entertains a surprise dressing-room visitor: her most adoring fan, the shy, wide-eyed Eve Harrington (Anne Baxter). But as Eve becomes a fixture in Margo’s life, the Broadway legend soon realizes that her supposed admirer intends to use her and everyone in her circle, including George Sanders’s acid-tongued critic, as stepping-stones to stardom. Featuring stiletto-sharp dialogue and direction by Mankiewicz, and an unforgettable Davis in the role that revived her career and came to define it, the multiple-Oscar-winningAll About Eveis the most deliciously entertaining film ever made about the ruthlessness of show business.",Joseph L. Mankiewicz,United States,1950,English,https://s3.amazonaws.com/criterion-production/films/43fd6f6135680ac83e75a69d9e94b7e4/SdDSAIemjQdIjmIByE6UI1xwCbXz9C_large.jpg,0042192
641,LONE WOLF AND CUB: WHITE HEAVEN IN HELL,"In the finalLone Wolf and Cubfilm, star Tomisaburo Wakayama decided to make the sort of wild movie he’d always wanted to: one in which Lone Wolf battles zombies and Daigoro’s baby cart zips improbably across an icy landscape on skis.",Yoshiyuki Kuroda,Japan,1974,Japanese,https://s3.amazonaws.com/criterion-production/films/930bd57bc90f2bbeeff80596a8fe678c/z2TmvMDeQaRiwYIg8lQmhiU5r1bqZi_large.jpg,0071695
25,ALL ABOUT MY MOTHER,"This Oscar-winning melodrama, one of Pedro Almodóvar’s most beloved films, provides a dizzying, moving exploration of the meaning of motherhood. In an instant, nurse Manuela (Cecilia Roth) loses the teenage son she raised on her own. Grief-stricken, she sets out to search for the boy’s long-lost father in Barcelona, where she reawakens into a new maternal role, at the head of a surrogate family that includes a pregnant, HIV-positive nun (Penélope Cruz); an illustrious star of the stage (Marisa Paredes); and a transgender sex worker (Antonia San Juan). Beautifully performed and bursting with cinematic references,All About My Motheris a vibrant tribute to female fortitude, a one-of-a-kind family portrait, and a work of boundless compassion.",Pedro Almodóvar,Spain,1999,Spanish,https://s3.amazonaws.com/criterion-production/films/081d7c31ab52d99598396ad232926653/psy2aK64LWq4FLcQRLx86tC4MeIcdm_large.jpg,0185125
26,ALL MONSTERS ATTACK,"Director Ishiro Honda returned again for the first Godzilla movie expressly for children. Economizing by reusing effects shots from other films in the series,All Monster Attacktells the story of Ichiro, a lonely latchkey kid who finds solace in his dreams of befriending Minilla, the titular progeny ofSon of Godzilla,whose parent is also often absent.In this thoughtful, human-scale story, boy and monster learn together what it means to grow up.New cover illustration by Jorge Coelho",Ishiro Honda,Japan,1969,Japanese,https://s3.amazonaws.com/criterion-production/films/31f099012aaf951c70361da005ba0bc1/t7D0fBx5a0bcQoVaXwwX0kZ5FVhvlI_large.jpg,0064373
